"Title","Country","Longitude","Latitude"
"Saw","Australia",135,-25
"Birth","UK",-2.69531,54.75844
"Birth","Germany",10.5,51.5
"Birth","France",2,46
"Alfie","UK",-2.69531,54.75844
"Seed of Chucky","Romania",25,46
"Seed of Chucky","UK",-2.69531,54.75844
"Bridget Jones: The Edge of Reason","UK",-2.69531,54.75844
"Bridget Jones: The Edge of Reason","France",2,46
"Bridget Jones: The Edge of Reason","Germany",10.5,51.5
"Bridget Jones: The Edge of Reason","Ireland",-8,53
"Alexander","Germany",10.5,51.5
"Alexander","Netherlands",5.75,52.5
"Alexander","France",2,46
"Alexander","UK",-2.69531,54.75844
"Alexander","Italy",12.83333,42.83333
"The Machinist","Spain",-4,40
"Eros","Italy",12.83333,42.83333
"Eros","Hong Kong",114.1577,22.28552
"Eros","France",2,46
"Eros","Luxembourg",6.16667,49.75
"Eros","UK",-2.69531,54.75844
"Closer","UK",-2.69531,54.75844
"Lemony Snicket's A Series of Unfortunate Events","Germany",10.5,51.5
"The Phantom of the Opera","UK",-2.69531,54.75844
"The Aviator","Germany",10.5,51.5
"Beyond the Sea","Germany",10.5,51.5
"Beyond the Sea","UK",-2.69531,54.75844
"Kinsey","Germany",10.5,51.5
"A Very Long Engagement","France",2,46
"Duck Season","Mexico",-102,23
"Sideways","Hungary",20,47
"Riding the Bullet","Germany",10.5,51.5
"Riding the Bullet","Canada",-113.64258,60.10867
"Hotel Rwanda","UK",-2.69531,54.75844
"Hotel Rwanda","Italy",12.83333,42.83333
"Hotel Rwanda","South Africa",24,-29
"Hotel Rwanda","Canada",-113.64258,60.10867
"The Merchant of Venice","Italy",12.83333,42.83333
"The Merchant of Venice","Luxembourg",6.16667,49.75
"The Merchant of Venice","UK",-2.69531,54.75844
"Being Julia","Canada",-113.64258,60.10867
"Being Julia","Hungary",20,47
"Being Julia","UK",-2.69531,54.75844
"Eulogy","UK",-2.69531,54.75844
"Eulogy","Germany",10.5,51.5
"Bride & Prejudice","UK",-2.69531,54.75844
"Bride & Prejudice","India",77,20
"Jiminy Glick in Lalawood","Canada",-113.64258,60.10867
